Name of State/Union Territory,Major Language Spoken
Jammu and Kashmir,Kashmiri
Himachal Pradesh,Hindi
Punjab,Punjabi
Uttrakhand,Hindi
Haryana,Hindi
Delhi,Hindi
Uttar Pradesh,Hindi
Rajasthan,Hindi
Madhya Pradesh,Hindi
Chhattisgarh,Hindi
Bihar,Hindi
Jharkhand,Hindi
West Bengal,Bengali
Sikkim,Nepali
Assam,Assamese
Arunachal Pradesh,Bengali
Nagaland,Bengali
Mizoram,Bengali
Tripura,Bengali
Meghalaya,Bengali
Manipur,Manipuri
Odisha,Oriya
Maharashtra,Marathi
Gujarat,Gujarati
Daman and Diu,Gujarati
Dadra and Nagar Haveli,Gujarati
Goa,Marathi
Karnataka,Kannada
Andhra Pradesh,Telugu
Kerala,Malayalam
Lakshadweep Islands,Malayalam
Tamil Nadu,Tamil
Puducherry,Tamil
Andaman and Nicobar Islands,Bengali
